FLOPs,Time
22400,0.0061
25600,0.0061
28800,0.0061
32000,0.0061
64000,0.0061
96000,0.0061
128000,0.0061
160000,0.0072
192000,0.0072
224000,0.0072
256000,0.0072
288000,0.0072
320000,0.0072
320,0.0082
640,0.0061
960,0.0061
1280,0.0061
1600,0.0061
1920,0.0061
2240,0.0061
2560,0.0061
2880,0.0061
3200,0.0061
6400,0.0061
9600,0.0061
12800,0.0061
16000,0.0061
19200,0.0061
22400,0.0061
25600,0.0061
28800,0.0061
32000,0.0061
64000,0.0061
96000,0.0061
128000,0.0061
160000,0.0072
192000,0.0071
224000,0.0072
256000,0.0072
288000,0.0072
320000,0.0072
480,0.0082
960,0.0061
1440,0.0061
1920,0.0061
2400,0.0061
2880,0.0061
3360,0.0061
3840,0.0061
4320,0.0061
4800,0.0061
9600,0.0061
14400,0.0061
19200,0.0061
24000,0.0061
28800,0.0061
33600,0.0061
38400,0.0061
43200,0.0061
48000,0.0061
96000,0.0061
144000,0.0072
192000,0.0072
240000,0.0072
288000,0.0072
336000,0.0072
384000,0.0072
432000,0.0072
480000,0.0072
480,0.0082
960,0.0061
1440,0.0061
1920,0.0061
2400,0.0061
2880,0.0061
3360,0.0061
3840,0.0061
4320,0.0061
4800,0.0061
9600,0.0061
14400,0.0061
19200,0.0061
24000,0.0061
28800,0.0061
33600,0.0061
38400,0.0061
43200,0.0061
48000,0.0061
96000,0.0061
144000,0.0072
192000,0.0072
240000,0.0072
288000,0.0072
336000,0.0072
384000,0.0072
432000,0.0072
480000,0.0082
640,0.0082
1280,0.0061
1920,0.0061
2560,0.0061
3200,0.0061
3840,0.0061
4480,0.0072
5120,0.0061
5760,0.0061
6400,0.0061
12800,0.0061
19200,0.0061
25600,0.0062
32000,0.0071
38400,0.0072
44800,0.0072
51200,0.0072
57600,0.0072
64000,0.0072
128000,0.0072
192000,0.0072
256000,0.0072
320000,0.0072
384000,0.0082
448000,0.0082
512000,0.0082
576000,0.0082
640000,0.0082
640,0.0082
1280,0.0061
1920,0.0072
2560,0.0061
3200,0.0072
3840,0.0061
4480,0.0072
5120,0.0061
5760,0.0061
6400,0.0061
12800,0.0061
19200,0.0072
25600,0.0072
32000,0.0072
38400,0.0072
44800,0.0072
51200,0.0072
57600,0.0072
64000,0.0072
128000,0.0072
192000,0.0072
256000,0.0072
320000,0.0072
384000,0.0082
448000,0.0082
512000,0.0082
576000,0.0082
640000,0.0082
800,0.0082
1600,0.0061
2400,0.0061
3200,0.0062
4000,0.0062
4800,0.0072
5600,0.0072
6400,0.0072
7200,0.0072
8000,0.0072
16000,0.0072
24000,0.0072
32000,0.0072
40000,0.0072
48000,0.0072
56000,0.0072
64000,0.0072
72000,0.0072
80000,0.0072
160000,0.0072
240000,0.0072
320000,0.0072
400000,0.0072
480000,0.0072
560000,0.0082
640000,0.0082
720000,0.0082
800000,0.0082
800,0.0082
1600,0.0061
2400,0.0072
3200,0.0071
4000,0.0072
4800,0.0071
5600,0.0072
6400,0.0072
7200,0.0072
8000,0.0072
16000,0.0072
24000,0.0072
32000,0.0072
40000,0.0072
48000,0.0072
56000,0.0072
64000,0.0072
72000,0.0072
80000,0.0072
160000,0.0072
240000,0.0072
320000,0.0072
400000,0.0072
480000,0.0082
560000,0.0082
640000,0.0082
720000,0.0082
800000,0.0082
960,0.0082
1920,0.0061
2880,0.0061
3840,0.0061
4800,0.0061
5760,0.0061
6720,0.0061
7680,0.0061
8640,0.0061
9600,0.0061
19200,0.0061
28800,0.0061
38400,0.0061
48000,0.0061
57600,0.0061
67200,0.0061
76800,0.0062
86400,0.0061
96000,0.0062
192000,0.0072
288000,0.0072
384000,0.0072
480000,0.0072
576000,0.0072
672000,0.0082
768000,0.0072
864000,0.0082
960000,0.0082
960,0.0082
1920,0.0061
2880,0.0061
3840,0.0061
4800,0.0061
5760,0.0061
6720,0.0061
7680,0.0061
8640,0.0061
9600,0.0061
19200,0.0061
28800,0.0061
38400,0.0061
48000,0.0061
57600,0.0061
67200,0.0061
76800,0.0062
86400,0.0071
96000,0.0062
192000,0.0072
288000,0.0072
384000,0.0072
480000,0.0072
576000,0.0072
672000,0.0072
768000,0.0082
864000,0.0082
960000,0.0082
1120,0.0082
2240,0.0061
3360,0.0061
4480,0.0061
5600,0.0061
6720,0.0061
7840,0.0061
8960,0.0061
10080,0.0061
11200,0.0061
22400,0.0061
33600,0.0061
44800,0.0061
56000,0.0061
67200,0.0061
78400,0.0062
89600,0.0061
100800,0.0061
112000,0.0061
224000,0.0062
336000,0.0072
448000,0.0072
560000,0.0072
672000,0.0072
784000,0.0072
896000,0.0072
1008000,0.0082
1120000,0.0082
1120,0.0082
2240,0.0061
3360,0.0061
4480,0.0061
5600,0.0061
6720,0.0061
7840,0.0061
8960,0.0061
10080,0.0061
11200,0.0061
22400,0.0061
33600,0.0061
44800,0.0061
56000,0.0061
67200,0.0061
78400,0.0061
89600,0.0061
100800,0.0061
112000,0.0061
224000,0.0061
336000,0.0072
448000,0.0072
560000,0.0072
672000,0.0072
784000,0.0072
896000,0.0072
1008000,0.0082
1120000,0.0082
1280,0.0082
2560,0.0061
3840,0.0061
5120,0.0061
6400,0.0061
7680,0.0061
8960,0.0061
10240,0.0061
11520,0.0061
12800,0.0061
25600,0.0061
38400,0.0061
51200,0.0061
64000,0.0061
76800,0.0061
89600,0.0072
102400,0.0072
115200,0.0072
128000,0.0072
256000,0.0072
384000,0.0072
512000,0.0072
640000,0.0072
768000,0.0072
896000,0.0082
1024000,0.0082
1152000,0.0082
1280000,0.0082
1280,0.0082
2560,0.0061
3840,0.0061
5120,0.0061
6400,0.0061
7680,0.0061
8960,0.0061
10240,0.0061
11520,0.0061
12800,0.0061
25600,0.0061
38400,0.0061
51200,0.0062
64000,0.0071
76800,0.0072
89600,0.0072
102400,0.0072
115200,0.0072
128000,0.0072
256000,0.0072
384000,0.0072
512000,0.0072
640000,0.0072
768000,0.0082
896000,0.0082
1024000,0.0082
1152000,0.0082
1280000,0.0082
1440,0.0082
2880,0.0072
4320,0.0061
5760,0.0072
7200,0.0072
8640,0.0072
10080,0.0072
11520,0.0072
12960,0.0072
14400,0.0072
28800,0.0072
43200,0.0072
57600,0.0072
72000,0.0072
86400,0.0072
100800,0.0072
115200,0.0072
129600,0.0072
144000,0.0072
288000,0.0072
432000,0.0072
576000,0.0072
720000,0.0082
864000,0.0082
1008000,0.0082
1152000,0.0082
1296000,0.0092
1440000,0.0082
1440,0.0082
2880,0.0072
4320,0.0072
5760,0.0072
7200,0.0072
8640,0.0072
10080,0.0072
11520,0.0072
12960,0.0072
14400,0.0072
28800,0.0072
43200,0.0072
57600,0.0072
72000,0.0072
86400,0.0072
100800,0.0072
115200,0.0072
129600,0.0072
144000,0.0072
288000,0.0072
432000,0.0072
576000,0.0072
720000,0.0082
864000,0.0082
1008000,0.0082
1152000,0.0082
1296000,0.0082
1440000,0.0092
1600,0.0082
3200,0.0072
4800,0.0072
6400,0.0072
8000,0.0072
9600,0.0072
11200,0.0072
12800,0.0072
14400,0.0072
16000,0.0072
32000,0.0072
48000,0.0072
64000,0.0072
80000,0.0072
96000,0.0072
112000,0.0072
128000,0.0072
144000,0.0072
160000,0.0072
320000,0.0072
480000,0.0072
640000,0.0082
800000,0.0082
960000,0.0082
1120000,0.0082
1280000,0.0082
1440000,0.0092
1600000,0.0092
1600,0.0082
3200,0.0072
4800,0.0072
6400,0.0072
8000,0.0072
9600,0.0072
11200,0.0072
12800,0.0072
14400,0.0072
16000,0.0072
32000,0.0072
48000,0.0072
64000,0.0072
80000,0.0072
96000,0.0072
112000,0.0072
128000,0.0072
144000,0.0072
160000,0.0072
320000,0.0072
480000,0.0082
640000,0.0082
800000,0.0082
960000,0.0082
1120000,0.0082
1280000,0.0092
1440000,0.0092
1600000,0.0092
3200,0.0082
6400,0.0072
9600,0.0082
12800,0.0072
16000,0.0082
19200,0.0082
22400,0.0082
25600,0.0082
28800,0.0082
32000,0.0082
64000,0.0082
96000,0.0082
128000,0.0082
160000,0.0082
192000,0.0082
224000,0.0082
256000,0.0082
288000,0.0082
320000,0.0082
640000,0.0082
960000,0.0092
1280000,0.0092
1600000,0.0092
1920000,0.0092
2240000,0.0092
2560000,0.0102
2880000,0.0102
3200000,0.0102
3200,0.0082
6400,0.0072
9600,0.0082
12800,0.0082
16000,0.0082
19200,0.0082
22400,0.0082
25600,0.0082
28800,0.0082
32000,0.0082
64000,0.0082
96000,0.0082
128000,0.0082
160000,0.0082
192000,0.0082
224000,0.0082
256000,0.0082
288000,0.0082
320000,0.0082
640000,0.0082
960000,0.0092
1280000,0.0092
1600000,0.0092
1920000,0.0092
2240000,0.0102
2560000,0.0102
2880000,0.0102
3200000,0.0102
4800,0.0082
9600,0.0092
14400,0.0092
19200,0.0092
24000,0.0092
28800,0.0092
33600,0.0092
38400,0.0092
43200,0.0092
48000,0.0092
96000,0.0092
144000,0.0092
192000,0.0092
240000,0.0092
288000,0.0092
336000,0.0102
384000,0.0102
432000,0.0102
480000,0.0102
960000,0.0102
1440000,0.0102
1920000,0.0113
2400000,0.0113
2880000,0.0113
3360000,0.0113
3840000,0.0123
4320000,0.0123
4800000,0.0123
4800,0.0082
9600,0.0092
14400,0.0092
19200,0.0092
24000,0.0092
28800,0.0092
33600,0.0092
38400,0.0092
43200,0.0092
48000,0.0092
96000,0.0092
144000,0.0092
192000,0.0092
240000,0.0102
288000,0.0092
336000,0.0102
384000,0.0102
432000,0.0102
480000,0.0102
960000,0.0102
1440000,0.0102
1920000,0.0113
2400000,0.0113
2880000,0.0113
3360000,0.0123
3840000,0.0123
4320000,0.0123
4800000,0.0123
6400,0.0082
12800,0.0092
19200,0.0102
25600,0.0102
32000,0.0102
38400,0.0102
44800,0.0102
51200,0.0102
57600,0.0102
64000,0.0102
128000,0.0102
192000,0.0102
256000,0.0102
320000,0.0102
384000,0.0102
448000,0.0102
512000,0.0102
576000,0.0102
640000,0.0103
1280000,0.0113
1920000,0.0113
2560000,0.0123
3200000,0.0123
3840000,0.0123
4480000,0.0123
5120000,0.0123
5760000,0.0123
6400000,0.0133
6400,0.0082
12800,0.0102
19200,0.0102
25600,0.0102
32000,0.0102
38400,0.0102
44800,0.0102
51200,0.0102
57600,0.0102
64000,0.0102
128000,0.0102
192000,0.0102
256000,0.0102
320000,0.0102
384000,0.0102
448000,0.0102
512000,0.0112
576000,0.0112
640000,0.0113
1280000,0.0113
1920000,0.0113
2560000,0.0113
3200000,0.0123
3840000,0.0123
4480000,0.0123
5120000,0.0133
5760000,0.0133
6400000,0.0133
8000,0.0082
16000,0.0113
24000,0.0113
32000,0.0113
40000,0.0113
48000,0.0113
56000,0.0113
64000,0.0113
72000,0.0113
80000,0.0113
160000,0.0113
240000,0.0123
320000,0.0113
400000,0.0123
480000,0.0113
560000,0.0123
640000,0.0123
720000,0.0123
800000,0.0123
1600000,0.0123
2400000,0.0133
3200000,0.0133
4000000,0.0133
4800000,0.0133
5600000,0.0143
6400000,0.0143
7200000,0.0143
8000000,0.0143
8000,0.0082
16000,0.0113
24000,0.0113
32000,0.0113
40000,0.0113
48000,0.0113
56000,0.0113
64000,0.0113
72000,0.0113
80000,0.0113
160000,0.0113
240000,0.0113
320000,0.0123
400000,0.0123
480000,0.0123
560000,0.0123
640000,0.0123
720000,0.0123
800000,0.0123
1600000,0.0123
2400000,0.0133
3200000,0.0133
4000000,0.0133
4800000,0.0133
5600000,0.0143
6400000,0.0143
7200000,0.0143
8000000,0.0143
9600,0.0082
19200,0.0113
28800,0.0123
38400,0.0123
48000,0.0123
57600,0.0123
67200,0.0123
76800,0.0123
86400,0.0113
96000,0.0123
192000,0.0123
288000,0.0123
384000,0.0123
480000,0.0123
576000,0.0123
672000,0.0133
768000,0.0133
864000,0.0133
960000,0.0133
1920000,0.0133
2880000,0.0143
3840000,0.0143
4800000,0.0154
5760000,0.0154
6720000,0.0164
7680000,0.0154
8640000,0.0164
9600000,0.0164
9600,0.0082
19200,0.0113
28800,0.0123
38400,0.0123
48000,0.0123
57600,0.0123
67200,0.0123
76800,0.0123
86400,0.0123
96000,0.0123
192000,0.0123
288000,0.0123
384000,0.0123
480000,0.0123
576000,0.0133
672000,0.0133
768000,0.0133
864000,0.0133
960000,0.0133
1920000,0.0133
2880000,0.0143
3840000,0.0143
4800000,0.0143
5760000,0.0144
6720000,0.0164
7680000,0.0154
8640000,0.0164
9600000,0.0154
11200,0.0082
22400,0.0123
33600,0.0133
44800,0.0133
56000,0.0133
67200,0.0133
78400,0.0133
89600,0.0133
100800,0.0133
112000,0.0133
224000,0.0133
336000,0.0133
448000,0.0133
560000,0.0133
672000,0.0143
784000,0.0143
896000,0.0143
1008000,0.0143
1120000,0.0143
